video_id,comment_id,comment,published_at
LYb_raAonAE,Ugwd_7ZNKgb3mAAlT7h4AaABAg,Rm1 = rp3635,2024-09-24T05:02:25Z
LYb_raAonAE,Ugxqn6LrrbANthQMccx4AaABAg,"Sekelas Gubernur BI kok dia jawabnya sangat mengecewakan sekali ya, serasa rakyat negeri tidak pintar menganalisis
Dia bilang rupiah stabil, jelas² rakyat teriak rupiah bergejolak dengan tingginya semua harga jual dan turunnya daya beli rakyat
Dia juga suruh bandingin sama negara maju, lah diliat dari sektor manapun tetap aja rupiah kita jeblok
Mulyono sibuk miskinin rakyat sih, segala dipajakin dan akhirnya kesulitan ekonomi muter² aja di rakyat
Jangan lah berkilah, lebih baik beresolusi
Malu banget liat pemerintahan era Mulyono, sedih liat nasib Ibu Pertiwi saat ini 😢",2024-09-23T09:38:27Z
LYb_raAonAE,UgzxaobSw52flS62CPx4AaABAg,Jadi WNA asik kyaknya,2024-09-14T01:23:43Z
LYb_raAonAE,UgyUCi66AQww0ZlAgul4AaABAg,"besok 20000 pun ngomongnya masih stabil ,trs dibanding bandingkan sama negara lain..lama lama gak ada harganya rupiah indonesia ini.",2024-08-25T14:05:16Z
LYb_raAonAE,UgywAU0Ktb6WnzEGw3x4AaABAg,"dn jangan lupa perbanyak KORUPSI..  
trimakasih...😂😂😂😂",2024-08-16T14:30:39Z
LYb_raAonAE,UgxsT-VEQVv-0EwYTXN4AaABAg,"ss enak yoh pemerintah harga dolar tambah tinggi , tingkatkan lagi pajak dn keluarkan macam2 pajak, biar indonesia tambah miskin... 
😂😂😂😂😂
Hadeh...  
klo Orang jd otak Udang dn sangat kolot itu sulit Obatnya",2024-08-16T14:29:08Z
LYb_raAonAE,UgxudguJByPvOa3MS7d4AaABAg,cselamat buat pemeritah jokowi😮😂😂,2024-08-11T06:03:16Z
LYb_raAonAE,UgyzNerZljBUd_m4_Up4AaABAg,"Pak , jgn gampang aja ngomong stabil kami masyarakat kecil cukup berdampak.",2024-07-27T17:19:50Z
LYb_raAonAE,UgzBtk0e0VQltCmSTtt4AaABAg,1:36 kocak sumpahh😢😢,2024-07-21T15:17:58Z
LYb_raAonAE,UgwquVEmIIwymlNCGmR4AaABAg,"Indonesia awalnya Negara Kaya krn kekayaan sumber alamnya, terkait nilai USD knp jadi Negara gk jelas, masak lbh bagus Riel Kamboja, banyak faktor ttpi intinya Jkw yg tdk mampu selaku Kepala Negara.",2024-07-12T23:54:14Z
LYb_raAonAE,Ugweh5OJtpUNvP2DPdx4AaABAg,"kalo kata pak de sihhhh,monggo bowo selamat menikmati meminpin negara ojo lali ya wo iku hutang hutang ku dibayar disek nanti.ojo lali meneh iku.... ikn diseleseno..,.. bbm supsidi di naiki..... ojolali meneh janji mangan siang gratis ditjalani...... bowo mumut endase piye ikiiiiii duit negara wes enteeee😂😂😂😂😂😂😂😂😂 cerita wayang orang iki🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",2024-07-10T15:18:58Z
LYb_raAonAE,Ugz4ZpuHY5dJNzpjfQR4AaABAg,"Ha ha ha ha politikal uang.sungguh bertubuh tubi serangan ke negri kita tercinta ini?, perdagangan di monopoli elit global.sungguh indonesia di lemahkan elitglobal.kapan kita ber gerak hed to  hed perekonomian setara./sama",2024-07-10T12:05:44Z
LYb_raAonAE,Ugz2wdcV1XntinVFR-x4AaABAg,Semoga rupiah sama level nilainya dgn mata wang afrika bleh tukar di pasar pagi dan smoga cpt bancrup🤭,2024-07-07T18:52:35Z
LYb_raAonAE,Ugz9sr83bWQjzKbuw-F4AaABAg,"Mau aja di bodohin kita ini mandiri jangan begantung sama dollar buang dollar , rusia, china dan timur tengah aja sdh buang mata uang dollar",2024-07-04T21:54:06Z
LYb_raAonAE,Ugxb3_vWwVichSmKBSx4AaABAg,Uang kita memang nggak ada nilainya.harus di citak ulang atau di perkecil monomalnya,2024-07-02T13:09:44Z
LYb_raAonAE,Ugy2MjHYdDGNuTnH2jd4AaABAg,Kepala bapak kau stabil,2024-07-01T06:03:31Z
LYb_raAonAE,UgwqqL_eA7px1-jgZ-Z4AaABAg,Belum 20 ribu,2024-06-30T11:48:35Z
LYb_raAonAE,UgxdeJZ09vLxCcY10hR4AaABAg,"katanya Indonesia negara kaya ko bisa kami masyarakat sangat menderita masalah ke uangan,mungkin saja yg kaya2 cuman pejabat",2024-06-30T11:12:10Z
